абдериты	глупый
абдикация	отказ
абзац	часть
абитуриент	ученик
абонировать	нанимать
абонироваться	абонировать нанимать подписываться
абордаж	столкновение
абориген	житель туземец
абортировать	рождать
абракадабра	нелепость
абрис	очерк
абсентеизм	отсутствие
абсолютный	полный совершенный безотносительный самостоятельный безусловный
абстрактный	духовный отвлеченный
абсурд	вздор нелепость
абшид	увольнение
авангард	войско передний
авантажный	величавый красивый
авантюра	случай
авантюрист	побродяга проходимец
авария	вред неудача
авгур	предсказатель
автобиография	биография
автомат	кукла
автомедон	возница
автономный	самостоятельный
автор	сочинитель составитель писатель компилятор композитор виновник творец
авторитет	значение сила вес компетентность компетенция престиж знаток достоинство ученый
авторитетный	веский властный влиятельный сильный
авторствовать	сочинять
автохтон	туземец
аггел	бес
агент	представитель уполномоченный поверенный деятель посредник
агитатор	зачинщик мятежник
агитация	возбуждение
агитировать	возбуждать
агония	мука
ад	геенна кромешная преисподняя бездна пекло чистилище тартар беспорядок
адвокат	стряпчий защитник поверенный ходатай юрист законовед правовед
адепт	ученик
администратор	правитель
администрация	власть
адонис	красивый
адресовать	направлять посылать
адресоваться	направляться
адски	очень
адский	невыносимый каторжный дьявольский сатанинский анафемский инфернальный
аж	даже
ажио	барыш
ажитация	горячность
ажитироваться	беспокоиться
ажно	даже
азарт	воодушевление пыл энтузиазм остервенение ярость горячность
азбука	начало
азбучный	обыкновенный простой
азиат	варвар дикарь
академист	ученик
академический	духовный отвлеченный
акафист	хвала
акварель	картина
аквариум	бассейн помещение
аквилон	ветер
акклиматизироваться	привыкать приспособляться
аккомпанемент	сопровождение
аккомпанировать	сопровождать
аккорд	звук
аккурат	точный
аккуратность	верность заботливость усердие
аккуратный	исправный исполнительный щепетильный точный тщательный корректный пунктуальный скрупулезный педантичный неукоснительный заботливый
акробат	актер
аксессуар	побочный принадлежность
аксессуары	обстановка
аксиома	истина
акт	действие документ свидетельство
актер	артист лицедей комедиант скоморох гастролер лицемер
актерствовать	притворяться
актив	имущество
акушерка	повитуха повивальщица
акцент	выговор
акциз	налог
алармистский	тревожный
алеть	краснеть
алкать	желать
алкоголик	пьяница пропойца пьяный
аллах	бог
аллегория	басня намек пример
аллея	дорога улица
аллокуция	речь
аллюр	шаг ход походка бег побежка хода ступа
алмаз	драгоценность
алтынник	взяточник подкупной
алчность	голод желание корыстолюбие
алчный	жадный корыстолюбивый любитель
алчущий	голодный
алый	красный
аль	разве
альбом	книга
альковный	любовный
альманах	календарь книга
альт	голос
альтернатива	вопрос выбор задача
аляповатый	безобразный грубый некрасивый
амальгама	смесь
аматер	любитель
амбар	депо здание
амбиция	гордость достоинство обидчивость
амбра	благовоние запах
амбулатория	больница
амврозия	пища
амикошонский	свободный
амикошонство	дружба
аминь	довольно конец
амнистия	прощение
амортизация	воздаяние
амплуа	занятие
ампоше	красть
амулет	ладанка талисман
амуниция	обстановка
амур	красивый любовь
амурный	любовный
амфитрион	гостеприимный
анализ	разложение разбор расследование испытание
анализировать	разлагать разбирать исследовать испытывать
аналогичность	аналогия соответствие сходство
аналогичный	подобный
аналогия	аналогичность соответствие соотношение сходство
анатомировать	разбирать
анафема	проклятие
анафематствовать	проклинать
анафемский	адский
анафемствовать	проклинать
анахорет	подвижник
ангел	серафим херувим ангелхранитель архангел апогей образцовый
ангельский	безобидный кроткий
анекдот	рассказ басня миф вымысел выдумка сказка
анемичный	больной
анналы	история летопись
аннектировать	красть
аннулировать	уничтожать
аномалия	неправильность отступление уклонение уродливость странность недостаток ошибка
анонимный	неизвестный
анонс	объявление
ансамбль	согласие
антагонизм	вражда соперничество неприязнь противодействие нелюбовь недоброжелательство
антагонист	враг
антецедент	прежний
антик	редкость чудак
антипатия	отвращение
антифон	молитва
античный	образцовый
антракт	перерыв передышка остановка
антропофаг	дикарь
аншлаг	объявление
апартамент	комната
апатичный	бесстрастный вялый ленивый
апатия	лень
апеллировать	жаловаться направляться
апелляция	жалоба
аплодировать	рукоплескать хлопать
апломб	достоинство
апогей	верх вершина зенит крайность предел максимум высший
аподиктический	доказательный назидательный
апокрифический	вымышленный мнимый
аполлон	бог
апологет	защитник
апология	защита
апостол	вестник
апострофировать	говорить
апофегма	афоризм изречение
апофеоз	хвала
аппарат	инструмент обстановка орудие
аппетит	голод желание
аппетитный	вкусный привлекательный
апрош	хитрость
аптекарский	дорогой
арабеска	рисунок украшение
арапник	бич кнут плеть нагайка
аргамак	рослый
аргумент	довод доказательство соображение основание резон
аргументировать	доказывать
аред	скупой
арена	поприще ристалище поле циклодром ипподром аэродром трек место
арендовать	снимать
ареопаг	судилище коллегия синедрион синклит присутствие
арестант	колодник узник заключенный
арестантская	острог тюрьма
арестовать	заключать
аржаны	деньги
аристарх	критик
аристид	честный
аристократ	вельможа магнат гранд патриций дворянин
аристократический	рыцарский достойный доблестный джентльменский благородный знатный
